婕	葮
撷	蒄
暨	曁
绾	綰
铨	銓
钺	鉞
俪	儷
昙	曇
驮	駄
赡	贍
嵘	萪
孪	菻
傥	儻
驷	駟
跻	躋
淄	蔆
淖	萠
佟	萢
虢	菷
峥	崢
砭	菎
桦	枠
璨	菫
擞	萓
昕	菴
贽	贄
蹿	荳
鹄	鵠
谶	讖
倌	莵
嫔	嬪
磷	莇
镌	鐫
獠	茣
挎	莖
氲	莟
龇	莚
闰	閏
胫	脛
诰	誥
摞	茘
谲	譎
怵	艸
馄	鯤
庾	艷
溉	漑
荟	薈
殇	殤
摈	擯
俅	艪
睑	瞼
觎	覦
镳	艢
刍	芻
嬗	艟
磺	艚
犊	犢
锲	艝
绶	綬
郸	鄲
蜓	艀
莘	舩
漳	舖
鸨	鴇
殁	歿
铉	與
鹳	鸛
槟	檳
坨	臟
觊	覬
饬	飭
堑	塹
灏	臈
闳	臙
颢	臑
琮	膽
蟑	膵
榈	櫚
贲	賁
膻	羶
鸢	鳶
掸	腟
绉	膣
泠	膤
偻	膕
碉	膃
诨	諢
盅	腦
睢	脣
臃	脩
蹩	肬
嶙	冐
仨	聽
赣	聹
绌	聰
扪	捫
峋	聨
祜	聢
镀	鍍
颚	顎
倜	聟
镬	耡
鹪	鷦
靥	靨
圯	飜
叵	翆
揿	譱
茁	羮
仃	羣
剜	羃
铢	銖
鑫	羂
篙	罸
氢	輕
泵	罧
罂	罌
蓟	薊
卟	罠
芮	罎
骅	纎
辔	轡
赊	纖
苯	纔
徜	纒
鹘	鶻
邕	續
坯	繿
潢	緕
菡	纃
歆	繻
芊	繩
踮	鈿
碱	繪
鬃	繙
籽	繖
牯	繧
鲧	鯀
聩	繦
颏	縱
跎	縒
埂	縣
诮	誚
镛	緻
飓	颶
铀	綟
殓	緜
殒	殞
徉	綯
侩	總
昀	綵
锴	綛
箩	絽
煲	襃
徕	徠
焱	經
岜	絣
飨	饗
缙	縉
邈	絖
铝	紵
钙	紮
诟	詬
鼹	糺
凫	鳬
骛	糴
缢	縊
傣	糒
鹜	鶩
淼	糂
锹	鍬
呤	糀
滟	粨
踽	粡
聃	粫
钿	粢
炷	粭
杈	粐
浃	浹
赅	籵
晔	曄
讦	訐
旎	籖
恹	籤
玮	籟
焯	籘
轸	軫
奁	奩
玟	籐
跆	籏
恽	籔
钎	篶
鸵	鴕
橐	簗
蘅	簓
灞	簀
藓	蘚
殚	殫
诿	籠
侪	儕
忾	愾
旖	簔
趄	簑
缛	縟
矸	篏
绡	箙
帏	幃
碴	箏
祛	箒
谌	箚
鼐	箟
銮	鑾
瘀	箘
狯	獪
裱	筰
囫	筅
罄	筍
嘹	筺
骓	騅
囵	笶
牖	笵
阗	笂
瓯	甌
蚱	竢
遛	竡
樾	竝
痨	竚
蒯	竓
堇	竏
誊	謄
讫	訖
诳	誑
馊	竍
郦	竊
螅	窰
俦	儔
鲲	竈
膘	穽
韪	龝
悱	穩
桠	椏
乩	穉
衩	穃
姘	稾
怄	稱
钠	稟
醮	稙
溧	稘
铄	鑠
颧	顴
畹	秡
浔	潯
栊	槞
觥	禮
氯	禪
锏	繝
赝	贋
缮	繕
秸	禝
疟	瘧
缦	縵
馍	祿
钤	礙
箧	篋
鄱	礑
赁	賃
雠	讎
飏	礒
趔	礇
铖	磚
奂	奐
傩	儺
迨	磑
蔺	藺
篑	簣
婵	嬋
氖	碯
獐	碪
赈	賑
缁	緇
烜	碵
绺	碆
侗	硴
镗	礪
邝	砠
飚	礦
擤	矼
涿	矇
饴	飴
骠	瞹
闱	瞶
骢	眛
橹	眥
酮	眞
谯	眤
颀	盻
馏	餾
诤	蘯
烊	盪
荚	莢
煨	盡
囡	皹
琰	皃
啭	囀
鸩	鴆
绦	絛
掼	皀
鳅	鰍
讧	訌
遴	癶
媪	媼
蔻	癪
镭	癨
簦	癢
纥	癡
鲈	鱸
澍	癜
摭	癈
穑	穡
诓	瘻
屣	瘉
荦	犖
钹	痳
玎	痲
茈	痃
囤	疳
怼	疂
栉	櫛
蝼	螻
劢	疉
邛	疊
昱	疇
镊	鑷
瓴	當
汜	畭
蹰	畫
芾	畧
缟	縞
谖	畩
椠	槧
